Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
Pool M2 #1;Pool;19/10/2025;113.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;;;AMFI CONSULTING LTDA;;;;
Teddy Hub Pool 1;Pool;30/10/2025;124.0;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R$ 0,00;;20,0%;;0,0%;;;10/11/2025;TEDDY HUB DIGITAL LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Captação finalizada
Dinie Pool #2;Pool;30/11/2025;155.0;R$ 931.310,42;R$ 719.038,38;R$ 212.272,04;R$ 970.643,51;R$ 5.307,50;R$ 6.000,00;R$ 1,44;R$ 0,00;22,8%;20,0%;15,8%;45.203,8%;12,5%;Concentração máx por sacado;31/07/2025;DINIE CORRESPONDENTE BANCÁRIO E MEIOS DE PAGAMENTOS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
UnionNational Pool #4;Pool;25/12/2025;180.0;R$ 1.147.105,55;R$ 887.917,70;R$ 259.187,85;R$ 1.054.911,84;R$ 83.202,23;R$ 10.000,00;R$ 1,21;R$ 0,00;22,6%;20,0%;1,4%;1.008,5%;2,1%;;25/12/2025;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
MMK Private;Pool;31/12/2025;186.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;100,0%;1,0%;;0,0%;;;;MMK Partners;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;CCB / Nota Comercial;Produto Encerrado
LC Investe Pool #2;Pool;31/01/2026;217.0;R$ 981.720,73;R$ 827.702,37;R$ 154.018,36;R$ 836.317,30;R$ 0,00;R$ 4.500,00;R$ 1,14;R$ 66.618,85;15,7%;10,0%;;0,0%;2,2%;Concentração máx por sacado;05/01/2026;LC Investe LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Ativo Judicial;Captação finalizada
Up Vendas #1;Pool;01/02/2026;218.0;R$ 1.513.614,32;R$ 0,01;R$ 1.513.614,31;R$ 653.771,74;R$ 859.842,58;;R$ 72.996.324,71;R$ 0,00;100,0%;20,0%;1,8%;0,0%;1,7%;;;Up Vendas;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Recebível de Cartão;Captação finalizada
SuperSim Pool #1;Pool;27/02/2026;244.0;R$ 15.796.964,76;R$ 6.937.307,90;R$ 8.859.656,85;R$ 19.049.222,23;R$ 1.102.958,86;R$ 100.000,00;R$ 3,16;R$ 1.818.818,91;56,1%;35,0%;55,1%;5.486.575,9%;41,7%;;27/01/2026;SUPERSIM ANÁLISE DE DADOS E CORRESPONDENTE BANCÁRIO LTDA;;Oferta Privada;CCB;Captação finalizada
Mooney Pool #1;Pool;07/03/2026;252.0;R$ 7.285,66;R$ 0,01;R$ 7.285,65;R$ 69.945,81;R$ 2.285,66;R$ 5.000,00;R$ 9.304.279,52;R$ 0,00;100,0%;15,0%;960,1%;69.945,8%;8,8%;;06/09/2025;Mooney S.A. Companhia Securitizadora;;Oferta Pública;Duplicata;Produto Encerrado
UnionNational Pool #3;Pool;18/06/2026;355.0;R$ 888.766,25;R$ 664.903,45;R$ 223.862,80;R$ 868.784,68;R$ 9.981,57;R$ 10.000,00;R$ 1,33;R$ 0,00;25,2%;20,0%;11,7%;0,0%;2,1%;;18/06/2026;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
BMDC Pool #1;Pool;22/08/2026;420.0;R$ 1.160.261,96;R$ 912.873,56;R$ 247.388,40;R$ 1.130.661,28;R$ 20.600,68;R$ 9.000,00;R$ 1,44;R$ 0,00;21,3%;20,0%;;0,0%;2,1%;Concentração máx por sacado;22/09/2025;BMDC SECURITIZADORA SA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Formento Pool #1;Pool;15/09/2026;444.0;R$ 0,01;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;65,0%;20,0%;;0,0%;;Concentração máx por sacado;15/09/2026;Formento Securitizadora S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Produto Encerrado
Digcap Pool #3;Pool;03/10/2026;462.0;R$ 2.293.693,98;R$ 1.475.416,17;R$ 818.277,81;R$ 2.193.392,23;R$ 95.092,25;R$ 5.000,00;R$ 1,90;R$ 0,00;35,7%;15,0%;9,5%;0,0%;4,5%;;28/03/2026;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Pública;Ativo Judicial;Captação finalizada
Formento Pool #2;Pool;23/10/2026;482.0;R$ 2.228.198,67;R$ 1.739.642,83;R$ 488.555,84;R$ 2.210.430,06;R$ 14.435,28;R$ 3.333,33;R$ 1,32;R$ 0,00;21,9%;20,0%;1,5%;0,0%;2,4%;;23/10/2026;Formento Securitizadora S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
