Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
Plin #1;Pool;11/02/2024;-514.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;1,0%;;0,0%;;;;GARANTIZA SOLUCOES FINANCEIRAS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Produto Encerrado
Plin #2;Pool;17/02/2024;-508.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;1,0%;;0,0%;;;;GARANTIZA SOLUCOES FINANCEIRAS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Captação finalizada
Plin #3;Pool;07/03/2024;-489.0;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;1,0%;;0,0%;;;;GARANTIZA SOLUCOES FINANCEIRAS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Captação finalizada
Plin #4;Pool;16/03/2024;-480.0;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;1,0%;;0,0%;;;;GARANTIZA SOLUCOES FINANCEIRAS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Produto Encerrado
Learnbase Working Capital #1;Pool;17/05/2024;-418.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;1,0%;;0,0%;;;;Learnbase Gestão e Consultoria Educacional S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;CCB;Pré-captação
a55 Pool #1;Pool;12/08/2024;-331.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;100,0%;10,0%;;0,0%;;;;a55 Consultoria em Credito Ltda.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Produto Encerrado
Intreguei Pool #1;Pool;16/10/2024;-266.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;;;INTREGUEI SOLUCOES E TECNOLOGIA LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;;Duplicata;
Pool André Franco #1;Pool;16/11/2024;-235.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;;;AMFI CONSULTING LTDA;;;Duplicata;
UnionNational Pool #1;Pool;25/11/2024;-226.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;33,4%;20,0%;;0,0%;;;;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Produto Encerrado
Allya #1;Pool;19/12/2024;-202.0;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;1,0%;;0,0%;;;;ALLYA SERVIÇOS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Produto Encerrado
Digcap Pool #1;Pool;21/12/2024;-200.0;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;100,0%;10,0%;;0,0%;;Prazo máximo por ativo (dias), Concentração máx por sacado;;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Privada;Ativo Judicial;Produto Encerrado
Allya #2;Pool;06/01/2025;-184.0;R$ 0,00;;;R$ 0,00;;;;R$ 0,00;;1,0%;;0,0%;;;;ALLYA SERVIÇOS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Privada;CCB;Produto Encerrado
UnionNational Pool #2;Pool;24/01/2025;-166.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;100,0%;20,0%;;0,0%;;;;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Produto Encerrado
Resolvvi #1;Pool;18/02/2025;-141.0;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;100,0%;1,0%;;0,0%;;;;Resolvvi Tecnologia Ltda;;Oferta Privada;Ativo Judicial;Produto Encerrado
Dinie Pool #1;Pool;01/04/2025;-99.0;R$ 0,02;R$ 0,01;R$ 0,01;R$ 0,00;R$ 0,02;R$ 0,00;R$ 0,00;R$ 0,00;100,0%;20,0%;;0,0%;;Prazo máximo por ativo (dias), Concentração máx por sacado;;DINIE CORRESPONDENTE BANCÁRIO E MEIOS DE PAGAMENTOS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Produto Encerrado
Plin Pool #1;Pool;19/04/2025;-81.0;R$ 0,00;;;R$ 0,00;;R$ 30.000,00;;R$ 0,00;;20,0%;;0,0%;;;;GARANTIZA SOLUCOES FINANCEIRAS LTDA;AMFI REPRESENTAÇÃO OPERACIONAL LTDA;Oferta Pública;Duplicata;Pré-captação
LC INVESTE Pool #1;Pool;11/05/2025;-59.0;R$ 0,01;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;100,0%;20,0%;;0,0%;;;;LC Investe LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Ativo Judicial;Produto Encerrado
AmFi Pool de Unitokens ;Pool;23/05/2025;-47.0;R$ 94,14;R$ 0,01;R$ 94,13;R$ 0,00;R$ 94,14;R$ 0,00;R$ 0,00;R$ 0,00;;10,0%;;0,0%;;;;AMFI CONSULTING LTDA;;Oferta Privada;Duplicata / Recebível de Cartão;Captação finalizada
NLT Tech One;Pool;31/05/2025;-39.0;R$ 1.522.412,64;R$ 0,00;R$ 1.522.412,64;R$ 1.569.497,57;R$ 0,00;R$ 0,00;;R$ 0,00;100,0%;1,0%;103,1%;47.084,9%;1,9%;;;Next Level Tecnologia LTDA;;Oferta Privada;CCB / Nota Comercial;Captação finalizada
Flowins Café Pool #1;Pool;14/06/2025;-25.0;R$ 0,04;R$ 0,00;R$ 0,04;R$ 0,00;R$ 0,04;R$ 0,00;;R$ 0,00;;;;0,0%;;Concentração máx por sacado;;Flowins;;;CCB;
Blipay Pool #1;Pool;26/07/2025;17.0;R$ 5.062.917,37;R$ 1.580.475,76;R$ 3.482.441,62;R$ 7.159.115,28;R$ 1.710.424,61;R$ 5.000,00;R$ 4,54;R$ 0,00;68,8%;30,0%;137,9%;3.469.975,0%;40,9%;;26/07/2025;BLIPAY INTERMEDIACAO DE NEGOCIOS E TECNOLOGIA LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #2;Pool;14/08/2025;36.0;R$ 998.146,72;R$ 441.200,40;R$ 556.946,32;R$ 989.110,16;R$ 0,00;R$ 1.500,00;R$ 3,18;R$ 0,00;55,8%;10,0%;20,7%;0,0%;4,0%;Prazo máximo por ativo (dias), Concentração máx por cedente em percentual;16/07/2025;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Privada;Ativo Judicial;Captação finalizada
DS Pool #1;Pool;17/08/2025;39.0;R$ 359.897,99;R$ 352.372,49;R$ 7.525,49;R$ 495.180,89;R$ 0,00;R$ 2.500,00;R$ 1,41;R$ 0,00;2,1%;20,0%;137,6%;135.372,4%;3,5%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;17/08/2025;COMPANHIA SECURITIZADORA X S.A;;Oferta Pública;Duplicata;Captação finalizada
a55 Pool #2;Pool;13/09/2025;66.0;R$ 107.867,67;R$ 0,00;R$ 107.867,67;R$ 358.969,61;R$ 0,00;R$ 2.000,00;R$ 820.770.551,50;R$ 0,00;100,0%;20,0%;332,8%;251.278,7%;5,0%;Concentração máx por sacado, Concentração máx por cedente em percentual, Inadimplência percentual máxima da carteira;12/09/2025;a55 Consultoria em Credito Ltda.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Pool M2 #1;Pool;19/10/2025;102.0;R$ 0,00;;;R$ 0,00;;R$ 0,00;;R$ 0,00;;;;0,0%;;;;AMFI CONSULTING LTDA;;;;
Teddy Hub Pool 1;Pool;30/10/2025;113.0;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R$ 0,00;;20,0%;;0,0%;;;10/11/2025;TEDDY HUB DIGITAL LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Captação finalizada
